Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
GALAD Score,Other (Serum score),"Laboratory investigations of AFP, AFP L3, and DCP",serum,Diagnostic,Diagnosis and follow-up after local ablative therapy,hepatocellular carcinoma (HCC),"Discrimination of HCC from liver cirrhosis,","Eletreby R, et al. Journal of clinical and translational hepatology 2023; 11(2)",2023,Egypt,Cairo
RDW Index (Red Cell Distribution Width),Other (Hematologic index),"blood count analysis with GEE models,",whole blood,Diagnostic and Prognostic,evaluate therapeutic response and adverse events,breast cancer,association with cardiotoxicity after anthracycline treatment,"Simões R, et al. Diagnostics (Basel, Switzerland) 2023; 13, 1552",2023,Brazil,Belo Horizonte
CD24,"Protein,",Quantitative real-time PCR analysis,blood and tissue samples,Diagnostic,Early screening and diagnosis,oral squamous cell carcinoma (OSCC),"Upregulation associated with advanced stages and lymph node involvement,","Muralidoss H, et al. Annals of maxillofacial surgery 2023",2023,India,Chennai
micro-ribonucleic acids (miRNA),RNA,"next-generation sequencing (NGS) and qPCR,",thyroid nodules and serum,Diagnostic,Discriminate between follicular adenoma and well-differentiated cancer,thyroid cancer (TC),Area under the curve (AUC) comparing adenoma and carcinoma,"?wirta JS, et al. Advances in clinical and experimental medicine 2023; 32(9):997–1007",2023,Poland,Zakopane and Kraków
fecal hemoglobin and calprotectin,"Protein,","particle-enhanced turbidimetric immunoassay and Sentifit 270,",fecal samples,"Diagnostic,",triage symptomatic patients needing immediate colonoscopy,colorectal cancer (CRC),negative predictive values and sensitivity for CRC diagnosis,"Lanas Á, et al. United European gastroenterology journal 2023; 11(7):692–9",2023,Spain and Portugal,-
exosomal HER2,Protein,Enzyme-linked immunosorbent assay (ELISA),serum-derived exosomes,"Diagnostic and Predictive,",assessing tissue HER2 status and predicting efficacy,advanced gastric cancer (AGC),consistent with levels in tumor tissues and predicting OS/PFS,"Li Q, et al. Cancer medicine 2023; 12:4110-4124",2023,China,Shanghai
soluble tumor necrosis factor receptor type 2 (sTNF-RII),Protein,enzyme-linked immunosorbent assays (ELISA),plasma,Prognostic,"accompanies increased Pain and decreased Physical Functioning,",breast cancer (BC),correlation with treatment-related behavioral symptoms over 2 years,"Patel SK, et al. Brain, behavior, & immunity - health 2023; 32, 100670",2023,USA,"Duarte, CA,"
Kidney-type glutaminase (GLS1),Protein,"GLS1 immunohistochemistry on tumour sections,",surgical specimen,Diagnostic and Prognostic,pathological diagnosis and prognosis of patients with HCC,hepatocellular carcinoma (HCC),"associated with disease-free survival (DFS),","Zhang L, et al. BMC cancer 2023; 23:1081,",2023,China,Nanjing
ADC and volumetric changes,"Other (Imaging parameters),",course of RT using a 1.5T MR-Linac,head and neck region,"Prognostic,",Correlation with oncologic and survival outcomes,head and neck squamous cell carcinoma (HNSCC),complete remission (CR) and overall survival (OS),"El-Habashy, et al. medRxiv 2023",2023,USA,"Houston, TX"
Neutrophil-to-Lymphocyte Ratio (NLR),Other (Blood cell ratio),"manual cell counting and blood sample analysis,",peripheral blood,Predictive,Pathological Response to Neoadjuvant Chemoradiotherapy,locally advanced rectal cancer (LARC),complete pathologic response (pCR),"Novin K, et al. Asian Pacific journal of cancer prevention APJCP 2023; 24(1), 61-67",2023,Iran,Tehran
8-HETE (Oxylipin),Other (Metabolite),"ultra-performance liquid chromatography (UPLC-MS),",plasma,Prognostic,Potential biomarker for AIA development,ER+ breast cancer,positive association with musculoskeletal pain at 6 months,"Martinez JA, et al. Metabolites 2023; 13, 452,",2023,USA,"Tucson, AZ"
lactate dehydrogenase (LDH) and % lymphocytes,"Protein and Other (Cells),",Elastic Net variable selection multivariable model,peripheral blood samples,Prognostic,"correlate with objective response and survival,",recurrent/metastatic head and neck squamous cell carcinomas,overall survival (OS) and progression-free survival (PFS),"Pan C, et al. Cancer medicine 2023; 12: 9384-9391",2023,USA,Seattle and Charleston
portal venous circulating tumor cells (CTCs),"Other (Cells),","immunofluorescence staining of collected blood,",portal and peripheral venous blood,Prognostic,biomarker for early recurrence and poor prognosis,"resectable pancreatic cancer,",overall survival (OS) and recurrence-free survival (RFS),"Choi YH, et al. Biomedicines 2022; 10, 1289",2022,South Korea,Seoul
metabolic tumor volume (MTV) and ADC,Other (Imaging parameters),"baseline FDG PET-MRI imaging,",lymphoma target lesions,Prognostic,staging and clinical risk assessment scores,aggressive non-Hodgkin's lymphoma,1-year progression-free survival (PFS),"Husby T, et al. BMC cancer 2022; 22:1117",2022,Norway,Trondheim
KLK10 mRNA,RNA,"quantitative real-time PCR (qRT-PCR),",peripheral blood samples,"Diagnostic,",discriminate ALL patients from normal counterparts,childhood acute lymphoblastic leukemia (ALL),"efficient discrimination of patients using ROC curves,","Ahmad SM, et al. PeerJ 2022; 10: e13489",2022,Iraq,Sulaimaniyah
cell-free HPV-DNA (cfHPV-DNA),"DNA,",HPV-SEQ test (NGS-based method),plasma,Diagnostic and Prognostic,grading treatment response and post-treatment surveillance,human papillomavirus (HPV)-associated oropharyngeal cancer,"correlation with radiographic response to induction therapy,","Rosenberg AJ, et al. BMC cancer 2022; 22:17",2022,USA,Chicago
tumor shear-wave speed (c),Other (Imaging parameter),"multifrequency tomoelastography (MRE),",liver,Predictive,marker for glypican-3-positive hepatocellular carcinoma,hepatocellular carcinoma (HCC),OR for predicting GPC3 cytoplasmic staining,"Wang Y, et al. Frontiers in oncology 2022",2022,China,Shanghai
MSI-H and TMB-high,"DNA,",Circulating tumor DNA assay by NGS,plasma and tumor tissue,Predictive,predictive biomarker for cancer immunotherapy,cervical carcinoma,deep partial response toDual immunotherapy,"Gim G, et al. The oncologist 2022",2022,USA,New York and Chicago
apolipoprotein A2-isoforms (apoA2-i),"Protein,","established enzyme-linked immunosorbent assay (ELISA),",blood stream,Diagnostic,risk stratification and identifying surgically-curable pancreatic cancer,pancreatic cancer,"Sensitivity and specificity for identifying HRIs,","Honda K. Cancer biomarkers 2022; 33, 503–512",2022,Japan,"Tokyo and Kobe,"
Serial circulating tumor DNA (ctDNA),"DNA,","targeted next-generation sequencing (NGS),",plasma-free DNA,Prognostic,predict early postoperative recurrence and monitor burden,hepatocellular carcinoma (HCC),Median VAF associated with tumor early recurrence,"Zhu GQ, et al. Molecular oncology 2022; 16: 549–561",2022,China,Shanghai
Serum Free Light Chain (FLC),"Protein,","Serum FLC and FLC ratio estimation,",serum,"Prognostic,",predicting long-term outcome and survival,aggressive B-cell non-Hodgkin's lymphoma (NHL),5-year survival outcomes,"Anoop TM, et al. South Asian journal of cancer 2022; 11(3): 256–259,",2022,India,"Thiruvananthapuram, Kerala"
"Vascular Endothelial-Cadherin, CD44, HMGB1, KLK6","Protein,","sandwich enzyme immunoassays (ELISA),",serum,Diagnostic,predictors of malignant epithelial laryngeal lesions,invasive laryngeal cancer and dysplasia,differentiating between non-dysplastic lesions and invasive cancer,"?urek M, et al. PeerJ 2022",2022,Poland,Warsaw
soluble cytotoxic- T- lymphocyte- antigen- 4 (sCTLA-4),Protein,solid phase sandwich ELISA kit,serum,Prognostic,independent predictor for early tumor recurrence,CHC-related hepatocellular carcinoma (HCC),"early Local Recurrence and Intrahepatic Distal Metastasis,","Teng W, et al. Cancer medicine 2022",2022,Taiwan,Linkou
TJP1,Protein,"high-throughput monoclonal antibody microarrays and IP-MS,",lung cancer tissue,Prognostic,potential therapeutic and prognostic target,lung cancer,"role in invasion, migration, and proliferation,","Pu J, et al. Technology in cancer research & treatment 2022; 21: 1-11",2022,China,"Xi’an and Shanghai,"
gut microbiome signature,"Other (Microbiota),",deep shotgun metagenomic profiling,Longitudinal stool samples,"Predictive,",stratify patients into responders and non-responders,"melanoma, renal, and non-small cell lung cancer","1 year progression-free survival (PFS),","Thompson NA, et al. BMC cancer 2022; 22:99",2022,UK,40 site locations
"soluble immune checkpoints (sTIM3, IFNa, sPDL1, etc.)","Protein,","multiplex assay using Luminex 200 platform,",serum samples,"Predictive,",define immune profile predicting response to ICIs,"advanced solid tumors (NSCLC, UM, RCC, HNSCC)","overall survival (OS) and progression-free survival (PFS),","Botticelli A, et al. Frontiers in immunology 2022",2022,Italy,Rome and Bologna
presepsin,Protein,-,-,Diagnostic,diagnosis of postoperative infectious complications,gastric cancer,complications after gastrectomy,"Imai Y, et al. Scientific reports 2022",2022,Japan,-
"volumetric parameters (MTV, TLG, WBTB)",Other (Imaging parameters),baseline 18F-FDG PET/CT imaging,Whole-body PET images,"Prognostic,",Predict overall survival (OS),non-small cell lung cancer (NSCLC),overall survival from scanning until date of death,"Mahmoud HA, et al. European journal of hybrid imaging 2022; 6:37",2022,Egypt,Assiut
Quadratic phenotypic optimization platform (QPOP),Other (Hybrid experimental–computational platform),ex vivo drug sensitivity testing (DST) fit within an orthogonal array composite design (OACD) model,Peripheral blood (PB) and bone marrow aspirate (BMA),Predictive,Predicting therapeutic response and identifying effective drug combinations,Acute Myeloid Leukemia (AML),"Clinical response (CR, CRi, and PR) or no clinical response (NR) post-induction","Sahib Noor Rashidha Binte Meera, et al. ""A Combinatorial Functional Precision Medicine Platform for Rapid Therapeutic Response Prediction in AML"", Cancer medicine, 2024.",2024,Singapore,National University Hospital and Tan Tock Seng Hospital
"Methylated Septin9, SDC2, KCNQ5, and IKZF1",DNA,Quantitative polymerase chain reaction (qPCR),Plasma,Diagnostic,Early diagnosis of colorectal cancer,Colorectal cancer (CRC),"Sensitivity, specificity, and AUC compared to conventional CEA test","Xu Yingshuo, et al. ""A multi-gene blood-based methylation assay for early diagnosis of colorectal cancer"", Translational cancer research, 2024.",2024,China,Zhengzhou and Tianjin
HER3 expression,Protein,Western blot analysis and PET imaging,Core biopsy specimens (tissue),Prognostic and Predictive,Guiding therapy and assessing resistance mechanisms,Breast cancer,Changes in expression while on neoadjuvant therapy and 10-year survival,"Sinevici Nicoleta, et al. ""A prospective study of HER3 expression pre and post neoadjuvant therapy of different breast cancer subtypes: implications for HER3 imaging therapy guidance"", Breast cancer research - BCR, 2024.",2024,USA,"Boston, MA"
Acu-URO17 (Keratin 17),Protein,Immunocytochemistry (ICC) test,Voided urine specimens,Diagnostic,Detecting bladder cancer cells,Bladder cancer and Urothelial carcinoma (UC),Sensitivity (96%) and specificity (82%) in high-grade urothelial cancer,"Guo Liwu, et al. ""Acu-URO17 is a highly sensitive and specific bladder cancer biomarker"", BJUI compass, 2024.",2024,USA,Acupath (New York based)
Abasic (AP) sites,DNA (Lesion),Abasic sites cleavage assay using T7 exonuclease and/or exonuclease III,Venous blood (leukocytes),Diagnostic and Prognostic,Profiling cumulative body burden and risk,Breast cancer,AP sites/10^6 total nucleotides in 5-year survivors without recurrence,"Lin C, et al. ""Analysis of the Abasic Sites in Breast Cancer Patients With 5 Year Postoperative Treatment Without Recurrence in Taiwan"", Cancer control, 2024.",2024,Taiwan,Central Taiwan
Anti-Müllerian hormone (AMH),Protein,Prospective cohort study analysis,Circulating (blood),Prognostic,Biomarker for aggressive prostate cancer,Prostate cancer,Aggressiveness in patients undergoing prostatectomy,"Kontogiannis Stavros, et al. ""Anti-Müllerian hormone - a novel biomarker for aggressive prostate cancer Emerging evidence from a prospective study of"", Hormones (Athens, Greece), 2024.",2024,Greece,Not specified
Apolipoprotein A-IV (ApoA-IV),Protein,Standard protein assay,Blood,Prognostic,Predicting incident cancer events,Various cancers in Chronic Kidney Disease (CKD) patients,Incident fatal and non-fatal cancer events over 6.5-year follow-up,"Kollerits Barbara, et al. ""Apolipoprotein A-IV concentrations and cancer in a large cohort of chronic kidney disease patients - results from the GC"", BMC cancer, 2024.",2024,Not specified,Not specified
Meta-biomarkers (AI-based),Other (AI algorithms),"Systematic review of ML and DL algorithms across genomics, radiomics, and pathomics",Multimodal data,Predictive,Predicting response to immune checkpoint inhibitors (ICIs),"Pan-cancer (NSCLC, melanoma, etc.)","Accuracy, sensitivity, and specificity of ICI efficacy prediction","Prelaj A, et al. ""Artificial intelligence for predictive biomarker discovery in immuno-oncology: a systematic review"", Annals of oncology, 2024.",2024,Multinational,Global review
Serum Cortisol,Other (Hormone),Correlation with TNM staging and histopathological grading,Serum,Diagnostic and Prognostic,Correlation with clinical stage and grading,Oral Squamous Cell Carcinoma (OSCC),Clinical stage and BRYNE’S invasive tumor front grading score,"Kalyani Ve, et al. ""Assessment of Serum Cortisol Levels in Patients with Oral Squamous Cell Carcinoma and Its Correlation with Clinical Stag"", Journal of maxillofacial and oral surgery, 2024.",2024,Not specified,Not specified
Stromal tumor-infiltrating lymphocytes (TILs),Other (Immune cells),Immunohistochemistry for CD3 and CD20 and H&E quantification,Resection specimens (endometrial tissue),Prognostic,Correlation with tumor characteristics,Endometrial cancer (EC),"Tumor stage, grade, and nodal involvement","Ahuja Sana, et al. ""Association of stromal tumor-infiltrating lymphocytes with clinicopathological parameters in endometrial cancer"", Korean journal of clinical oncology, 2024.",2024,India,New Delhi
Leptin and adiponectin receptor,Protein,Immunohistochemistry (IHC) studies,Paraffin-embedded blocks (CRC tissue),Diagnostic and Prognostic,Correlation with clinicopathological parameters,Colorectal carcinoma (CRC),"Tumor size, histological type, stage, and grade","Parmesh Priyanka, et al. ""CORRELATION OF LEPTIN AND ADIPONECTIN RECEPTOR EXPRESSION WITH CLINICOPATHOLOGICAL PARAMETERS IN COLORECTAL CARCINOMA -"", Arquivos de gastroenterologia, 2024.",2024,India,Tertiary care hospital
